order_id,machine_type,date_basement_arrival,date_electrical_panel_arrival,date_delivery
97,lt8,421,432,426
98,lt8,402,432,560
99,lt8,418,445,479
100,lt8,418,447,425
101,lt8,437,461,185
102,lt8,424,473,473
103,lt8,455,480,529
104,lt8,432,480,468
105,lt8,462,486,486
106,lt8,438,488,515
107,lt8,442,491,493
108,lt8,445,495,495
109,lt8,486,496,530
110,lt8,450,500,531
111,lt8,486,502,535
112,lt8,462,508,529
113,lt8,484,510,545
114,lt8,507,516,509
115,lt8,478,518,517
116,lt8,509,521,543
117,lt8,505,524,545
118,lt8,503,528,549
119,lt8,498,530,537
120,lt8,523,532,552
121,lt8,493,536,578
122,lt8,520,538,558
123,lt8,513,543,566
124,lt8,520,545,594
125,lt8,514,549,602
126,lt8,520,551,612
127,lt8,552,558,581
128,lt8,539,560,566
129,lt8,539,564,581
130,lt8,517,566,588
131,lt8,541,572,599
132,lt8,565,574,612
133,lt8,572,579,619
134,lt8,563,581,635
135,lt8,576,585,616
136,lt8,552,587,602
137,lt8,580,591,620
138,lt8,551,592,637
139,lt8,557,595,628
140,lt8,552,599,633
141,lt8,584,601,622
142,lt8,583,606,719
143,lt8,579,607,636
144,lt8,580,612,636
145,lt8,606,615,642
146,lt8,586,616,630
147,lt8,628,637,698
148,lt8,639,648,648
149,lt8,608,652,697
150,lt8,644,654,654
151,lt8,631,656,656
152,lt8,647,662,661
153,lt8,638,664,664
154,lt8,648,666,658
155,lt8,642,668,668
156,lt8,637,672,672
157,lt8,678,696,696
158,lt8,690,697,697
159,lt8,667,704,704
160,lt8,681,704,704
161,lt8,677,712,745
162,lt8,700,712,712
163,lt8,677,712,731
164,lt8,668,713,707
165,lt8,688,714,714
166,lt8,679,719,719
167,lt8,693,720,720
168,lt8,689,725,725
169,lt8,680,725,726
170,lt8,699,725,732
171,lt8,683,727,728
172,lt8,684,731,760
173,lt8,727,733,740
174,lt8,686,735,738
175,lt8,734,739,745
176,lt8,714,741,740
177,lt8,729,742,745
178,lt8,711,746,732
179,lt8,742,748,762
180,lt8,732,748,768
181,lt8,712,755,755
182,lt8,709,755,755
183,lt8,729,759,768
184,lt8,720,762,762
185,lt8,753,763,774
186,lt8,737,763,767
187,lt8,759,767,768
188,lt8,732,769,768
189,lt8,730,770,774
190,lt8,749,770,770
191,lt8,746,770,775
192,lt8,723,773,769
193,lt8,756,776,782
194,lt8,771,776,776
195,lt8,744,777,893
196,lt8,773,783,784
197,lt8,743,787,795
198,lt8,772,788,797
199,lt8,751,790,804
200,lt8,780,794,811
201,lt8,781,795,795
202,lt8,792,797,797
203,lt8,781,797,823
204,lt8,781,802,802
205,lt8,762,808,805
206,lt8,797,808,808
207,lt8,783,811,804
208,lt8,783,811,844
209,lt8,820,830,867
210,lt8,818,833,840
211,lt8,797,837,857
212,lt8,818,844,844
213,lt8,818,850,850
214,lt8,817,853,906
215,lt8,804,853,812
216,lt8,850,858,888
217,lt8,811,860,860
218,lt8,825,866,1075
219,lt8,830,871,871
220,lt8,832,872,872
221,lt8,838,875,900
222,lt8,875,881,928
223,lt8,868,885,885
224,lt8,870,886,915
225,lt8,883,888,888
226,lt8,879,889,885
227,lt8,854,889,945
228,lt8,886,896,895
229,lt8,875,899,895
230,lt8,895,901,948
231,lt8,885,903,922
232,lt8,876,906,915
233,lt8,877,908,934
234,lt8,878,914,1053
235,lt8,892,915,1068
236,lt8,898,920,928
237,lt8,885,922,1021
238,lt8,893,924,1028
239,lt8,878,924,924
240,lt8,919,928,928
241,lt8,914,931,1019
242,lt8,892,936,997
243,lt8,912,945,969
244,lt8,903,955,955
245,lt8,908,956,1011
246,lt8,915,959,955
247,lt8,922,966,977
248,lt8,927,971,971
249,lt8,928,972,977
250,lt8,930,976,1018
251,lt8,935,979,1040
252,lt8,944,985,1088
253,lt8,948,987,1018
254,lt8,949,990,1006
255,lt8,952,993,1018
256,lt8,956,997,1012
257,lt8,962,1001,1006
258,lt8,963,1004,1025
259,lt8,965,1006,1006
260,lt8,970,1011,1032
261,lt8,976,1015,1032
262,lt8,980,1021,1032
263,lt8,984,1025,1067
264,lt8,990,1029,1071
265,lt8,999,1054,1067
266,lt8,1004,1057,1057
267,lt8,1006,1061,1062
268,lt8,1012,1067,1089
269,lt8,1015,1070,1061
270,lt8,1019,1074,1074
271,lt8,1025,1078,1078
272,lt8,1026,1081,1112
273,lt8,1032,1085,1093
274,lt8,1033,1088,1112
275,lt8,1053,1092,1104
276,lt8,1060,1099,1142
277,lt8,1062,1103,1129
278,lt8,1064,1105,1100
279,lt8,1068,1109,1147
280,lt8,1074,1113,1127
281,lt8,1075,1116,1131
282,lt8,1081,1120,1106
283,lt8,1084,1125,1181
284,lt8,1088,1130,1153
285,lt8,1092,1134,1174
286,lt8,1096,1138,1155
287,lt8,1098,1140,1137
288,lt8,1102,1144,1199
289,lt8,1106,1148,1170
290,lt8,1110,1152,1144
291,lt8,1112,1154,1199
292,lt8,1116,1158,1154
293,lt8,1118,1160,1171
294,lt8,1120,1162,1200
295,lt8,1124,1166,1150
296,lt8,1126,1168,1196
297,lt8,1131,1172,1170
298,lt8,1133,1174,1182
299,lt8,1137,1176,1183
300,lt7,300,339,396
301,lt7,251,293,287
302,lt7,264,306,315
303,lt7,403,447,483
304,lt7,473,515,560
305,lt7,770,829,851
306,lt7,858,900,896
307,lt7,860,902,1068
308,lt7,901,950,1027
309,lt7,950,992,1012
310,lt7,930,977,1005
311,lt7,907,956,1056
312,lt7,955,997,1034
313,lt7,945,987,990
314,lt7,921,966,1062
315,lt7,997,1053,1070
316,lt7,973,1015,1036
317,lt7,977,1019,1060
318,lt7,970,1012,1022
319,lt7,973,1036,1039
320,lt7,1005,1061,1096
321,lt7,966,1008,1060
322,lt7,958,1028,1054
323,lt7,1020,1076,1060
324,lt7,1026,1082,1080
325,lt7,1007,1063,1050
326,lt7,1015,1071,1095
327,lt7,990,1032,1057
328,lt7,1012,1068,1088
329,lt7,1000,1056,1041
330,lt7,984,1026,1021
331,lt7,1029,1085,1127
332,lt7,1055,1097,1081
333,lt7,1060,1102,1098
334,lt7,1069,1111,1166
335,lt7,1034,1090,1103
336,lt7,1064,1106,1141
337,lt7,1082,1124,1122
338,lt7,1095,1138,1116
339,lt7,1102,1145,1172
340,lt7,1116,1159,1156
341,lt7,1123,1166,1146
342,lt7,1131,1173,1167
343,lt7,1088,1131,1114
344,lt7,1109,1152,1177
